id,seq,query,prefix,is_leave_query,input_var,output_var,output_rel,description
1,0,SELECT ?country WHERE {?country rdf:type ?continent.},rdf,0,continent,country,belongs,"Select all countries within a given continent, continent attribute should be assigned to result"
2,1,SELECT ?reserve WHERE {{?reserve dbpedia-owl:country ?country.} UNION {?reserve dbpedia-owl:location ?country.} ?reserve rdf:type dbpedia-owl:ProtectedArea.},dbpedia-owl;rdf,0,country,reserve,belongs,"Select all protected area within a given country, country attribute should be assigned to result"
3,1,SELECT ?residence WHERE {{?residence dbpedia-owl:country ?country.} UNION {?residence dbpedia-owl:location ?country.} ?residence rdf:type dbpedia-owl:PopulatedPlace.},dbpedia-owl;rdf,0,country,residence,belongs,"Select all populated area within a given country, country attribute should be assigned to result"
4,2,SELECT ?city WHERE {?residence dbpedia-owl:locationCity ?city.},dbpedia-owl,0,residence,city,contains,"Select the parent node, a relationship should be build upon result"
5,2,SELECT ?parent WHERE {{?residence dbpedia-owl:isPartOf ?parent.} UNION {?residence dbpedia-owl:location ?parent.}},dbpedia-owl,0,residence,parent,contains,"Select the parent node, a relationship should be build upon result"
6,2,SELECT ?nearest_city WHERE {?reserve dbpedia-owl:nearestCity ?nearest_city.},dbpedia-owl,0,reserve,nearest_city,contains,"Select the parent node, a relationship should be build upon result"
7,2,SELECT ?parent WHERE {{?reserve dbpedia-owl:isPartOf ?parent.} UNION {?reserve dbpedia-owl:location ?parent.}},dbpedia-owl,0,reserve,parent,contains,"Select the parent node, a relationship should be build upon result"
8,3,SELECT * WHERE {?residence dbpedia-owl:abstract ?abstract_en. FILTER (lang(?abstract_en) = 'en') ?residence rdfs:label ?label_en. FILTER (lang(?label_en) = 'en') OPTIONAL {?residence dbpedia-owl:abstract ?abstract_zh. FILTER (lang(?abstract_zh) = 'zh')} OPTIONAL {?residence rdfs:label ?label_zh. FILTER (lang(?label_zh) = 'zh')} OPTIONAL {?residence geo:lat ?latitude. ?residence geo:long ?longtitue.} OPTIONAL {?residence dbpedia-owl:elevation ?elevation} OPTIONAL {?residence dbpedia-owl:utcOffset ?timezone} OPTIONAL {?residence dbpedia-owl:areaTotal ?area} OPTIONAL {?residence dbpedia-owl:populationTotal ?population} OPTIONAL {?residence foaf:homepage ?homepage.} OPTIONAL {?residence foaf:isPrimaryTopicOf ?wikipage.} },dbpedia-owl;rdfs;foaf;geo,1,residence,abstract_en;label_en;abstract_zh;label_zh;latitude;longtitue;elevation;timezone;area;population;homepage;wikipage,"",Select basic attributes of a populated place
9,3,SELECT ?link WHERE{?residence dbpedia-owl:wikiPageExternalLink ?link},dbpedia-owl,1,residence,link,"",Select external links of a populated place
10,3,SELECT * WHERE {?reserve dbpedia-owl:abstract ?abstract_en. FILTER (lang(?abstract_en) = 'en') ?reserve rdfs:label ?label_en. FILTER (lang(?label_en) = 'en') OPTIONAL {?reserve dbpedia-owl:abstract ?abstract_zh. FILTER (lang(?abstract_zh) = 'zh')} OPTIONAL {?reserve rdfs:label ?label_zh. FILTER (lang(?label_zh) = 'zh')} OPTIONAL {?reserve geo:lat ?latitude. ?reserve geo:long ?longtitue.} OPTIONAL {?reserve dbpedia-owl:elevation ?elevation} OPTIONAL {?reserve dbpedia-owl:areaTotal ?area} OPTIONAL {?reserve foaf:homepage ?homepage.} OPTIONAL {?reserve foaf:isPrimaryTopicOf ?wikipage.} },dbpedia-owl;rdfs;foaf;geo,1,reserve,abstract_en;label_en;abstract_zh;label_zh;latitude;longtitue;elevation;area;homepage;wikipage,"",Select basic attributes of a reserved place
